id,station_name,date,state,elevation_ft,latitude,longitude,air_temp_obs_c,air_temp_avg_c,reservoir_volume_dam3,precipitation_mm,snow_depth_cm,snow_density_pct,snow_water_equiv_mm,snow_rain_ratio,station_type
0,Abbey,2014-04-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,0.0,,0.0,,precip
1,Abbey,2014-05-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,0.0,,0.0,,precip
2,Abbey,2014-06-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,,,,,precip
3,Abbey,2014-07-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,,,,,precip
4,Abbey,2014-08-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,,,,,precip
5,Abbey,2014-09-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,,,,,precip
6,Abbey,2014-10-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,,,,,precip
7,Abbey,2014-11-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,,,,,precip
8,Abbey,2014-12-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,,,,,precip
9,Abbey,2015-01-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,10.0,25.0,25.0,,precip
10,Abbey,2015-02-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,0.0,,0.0,,precip
11,Abbey,2015-03-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,0.0,,0.0,,precip
12,Abbey,2015-04-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,0.0,,0.0,,precip
13,Abbey,2015-05-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,0.0,,0.0,,precip
14,Abbey,2015-06-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,,,,,precip
15,Abbey,2015-07-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,,,,,precip
16,Abbey,2015-08-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,,,,,precip
17,Abbey,2015-09-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,,,,,precip
18,Abbey,2015-10-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,,,,,precip
19,Abbey,2015-11-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,,,,,precip
20,Abbey,2015-12-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,,,,,precip
21,Abbey,2016-01-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,,,,,precip
22,Abbey,2016-02-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,56.0,36.4,203.0,,precip
23,Abbey,2016-03-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,36.0,46.4,165.0,,precip
24,Abbey,2016-04-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,20.0,43.8,89.0,,precip
25,Abbey,2016-05-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,0.0,,0.0,,precip
26,Abbey,2016-06-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,,,,,precip
27,Abbey,2016-07-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,,,,,precip
28,Abbey,2016-08-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,,,,,precip
29,Abbey,2016-09-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,,,,,precip
30,Abbey,2016-10-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,,,,,precip
31,Abbey,2016-11-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,,,,,precip
32,Abbey,2016-12-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,,,,,precip
33,Abbey,2017-01-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,5.0,,13.0,,precip
34,Abbey,2017-02-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,104.0,29.3,305.0,,precip
35,Abbey,2017-03-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,122.0,33.3,406.0,,precip
36,Abbey,2017-04-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,79.0,38.7,305.0,,precip
37,Abbey,2017-05-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,0.0,,0.0,,precip
38,Abbey,2017-06-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,,,,,precip
39,Abbey,2017-07-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,,,,,precip
40,Abbey,2017-08-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,,,,,precip
41,Abbey,2017-09-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,,,,,precip
42,Abbey,2017-10-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,,,,,precip
43,Abbey,2017-11-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,,,,,precip
44,Abbey,2017-12-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,,,,,precip
45,Abbey,2018-01-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,8.0,,13.0,,precip
46,Abbey,2018-02-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,20.0,25.0,51.0,,precip
47,Abbey,2018-03-01 00:00:00+00:00,CA,5650,39.955,-120.538,,,,,20.0,25.0,51.0,,precip
