year,longitude_group,elevation_group,water_mm_sum,temp_c_mu,temp_c_max,elevation_ft
2014,3,18,6034,5.1,14.8,9604
2014,4,18,7727,2.6333333333333333,13.7,9445
2014,3,17,13910,3.566666666666667,15,8801
2014,1,16,5271,7.2,17,8338
2014,2,16,11466,3.5,16.4,8534
2014,3,16,10421,3.433333333333333,15.4,8557
2014,1,15,6119,6.3,18,8013
2014,2,15,23894,4.18,17,8067
2014,3,15,6829,2.45,15.6,7884
2014,4,15,16,-2.2,0.3,7825
2014,1,14,3843,9.8,18.7,7050
2014,2,14,5748,3.4,11.9,7360
2014,3,14,2878,3.6,10.7,7198
2014,4,14,571,7.7,17.1,7340
2014,1,13,8935,4,16.3,6980
2014,2,13,9843,2.9499999999999997,15.3,6797
2014,1,12,5637,3.8499999999999996,14.6,6436
2014,2,12,6606,5.2,17.6,6509
2014,3,12,6479,4.2,14.4,6510
2014,4,12,392,10.4,22.6,6183
2014,1,11,279,7.05,18.9,5680
2014,1,10,3260,5.6,20,5170
2014,4,10,385,14.1,25.8,5399
2014,1,7,205,4.6,5,3704
2014,4,7,563,18.1,30,3643
2014,3,5,14,13.1,13.1,2697
2014,4,5,107,22.1,33.8,2644
2014,4,4,230,21,35,2062
2014,1,1,44,12.399999999999999,13.2,875
2014,4,1,339,26.65,35.9,556
2015,3,18,8801,5.300000000000001,13.5,9604
2015,4,18,10218,5.016666666666667,13.6,9445
2015,3,17,18283,5.516666666666667,15.3,8801
2015,1,16,7650,6.5,17.4,8338
2015,2,16,14264,5.583333333333333,14.8,8534
2015,3,16,11963,5.3,14.3,8557
2015,1,15,7982,7,17.7,8013
2015,2,15,26702,6.33,17.1,8067
2015,3,15,8344,5.85,14.3,7884
2015,4,15,683,1.5999999999999999,11.8,7825
2015,1,14,4785,8.8,20.1,7050
2015,2,14,8231,3.1499999999999995,14.6,7360
2015,3,14,3633,6.7,12.9,7198
2015,4,14,1087,8.5,16.1,7340
2015,1,13,12621,3.2500000000000004,15.2,7030
2015,2,13,13083,5.550000000000001,15.7,6797
2015,1,12,7748,4.699999999999999,15.1,6436
2015,2,12,7659,6.675,17.4,6509
2015,3,12,7201,7.175000000000001,15.8,6510
2015,4,12,635,14,22.5,6183
2015,1,11,3610,9.149999999999999,21.5,5680
2015,1,10,7823,7.266666666666667,23.3,5170
2015,4,10,780,12.600000000000001,22.7,5399
2015,1,7,7642,12.25,27.4,3704
2015,4,7,868,17.35,28.4,3643
2015,4,6,1237,16.25,25.4,2995
2015,3,5,1108,17,26.2,2697
2015,4,5,630,20.3,28.6,2644
2015,4,4,677,19.799999999999997,35.9,2062
2015,1,1,1043,20,34.8,875
2015,4,1,756,24.875,36,556
2016,3,18,17713,0.95,14.3,9604
2016,4,18,20378,0.9666666666666666,14.2,9445
2016,3,17,39925,1.8,15.9,8801
2016,1,16,16574,3.15,15.6,8338
2016,2,16,32896,1.9500000000000002,15.3,8534
2016,3,16,28934,2.4,13.3,8557
2016,1,15,16079,4.55,15.4,8013
2016,2,15,62333,3.21,16.9,8067
2016,3,15,17443,2.45,13.2,7884
2016,4,15,1558,2,17,7825
2016,1,14,8249,-0.6000000000000001,17.1,7208
2016,2,14,14206,1.2,10.4,7360
2016,3,14,6854,3.25,13,7198
2016,4,14,1475,4.1,15.5,7340
2016,1,13,24863,3.1666666666666665,12.3,7030
2016,2,13,27397,2.425,13.8,6797
2016,1,12,14424,2.2249999999999996,16.4,6436
2016,2,12,16338,3.625,15.3,6509
2016,3,12,14425,5.125,19.6,6510
2016,4,12,813,11.7,25.7,6183
2016,1,11,4953,5,17.8,5680
2016,1,10,9773,5.216666666666667,21.2,5170
2016,4,10,711,9,22.4,5399
2016,1,7,2646,4.1,11.1,3704
2016,4,7,1117,11.100000000000001,27.8,3643
2016,4,6,1479,13.25,24.5,2995
2016,3,5,1500,17.15,25.4,2697
2016,4,5,881,14.45,29.7,2644
2016,4,4,1221,16.2,34.5,2062
2016,1,1,1302,16.3,31.7,875
2016,4,1,540,17.299999999999997,34.5,556
2017,3,18,35427,3.0999999999999996,14.8,9604
2017,4,18,37465,1.9833333333333332,15.2,9445
2017,3,17,79881,3.066666666666667,16.4,8801
2017,1,16,27521,4,18.5,8338
2017,2,16,56487,2.1833333333333336,14.8,8534
