year,station_name,elevation_ft,longitude,water_mm_sum,temp_c_med,temp_c_max,longitude_group
2014,Leavitt Lake,9604,-119.61281,6034,5.1,14.8,3
2014,Virginia Lakes Ridge,9445,-119.23433,2631,2.8,13.5,4
2014,Summit Meadow,9313,-119.53522,2829,2.7,13.7,4
2014,Lobdell Lake,9249,-119.36572,2267,2.4,12.3,4
2014,Mt Rose Ski Area,8801,-119.89473,5041,3.9,14.9,3
2014,Sonora Pass,8770,-119.6003,3396,2.6,11.1,3
2014,Ebbetts Pass,8661,-119.80468,5473,4.2,15,3
2014,Horse Meadow,8557,-119.662,3947,4.5,14.3,3
2014,Heavenly Valley,8534,-119.91641,3985,2.5,15.8,2
2014,Carson Pass,8360,-120.0022,4672,3.4,13.2,2
2014,Independence Lake,8338,-120.28972,5271,7.2,17,1
2014,Monitor Pass,8306,-119.6087,2170,5,15.4,3
2014,Big Meadow,8235,-119.9422,2809,4.6,16.4,2
2014,Burnside Lake,8129,-119.8942,4304,0.8,7.9,3
2014,Blue Lakes,8067,-119.91667,5065,3.3,12.4,2
2014,Forestdale Creek,8017,-119.9597,5338,3.3,13.1,2
2014,Squaw Valley G.C.,8013,-120.26576,6119,6.3,18,1
2014,Marlette Lake,7884,-119.89672,4207,3.8,15.6,3
2014,Bodie Hills,7825,-119.12645,16,-2.2,0.3,4
2014,Hagans Meadow,7742,-119.9374,3257,1.2,8.6,2
2014,Poison Flat,7736,-119.62624,2622,1.1,9.5,3
2014,Echo Peak,7653,-120.0795,6398,5.9,17,2
2014,Rubicon No.2,7619,-120.13139,3836,7.2,16.8,2
2014,Dismal Swamp,7360,-120.18033,5748,3.4,11.9,2
2014,Doe Ridge,7340,-118.82643,571,7.7,17.1,4
2014,Leavitt Meadows,7198,-119.55111,2878,3.6,10.7,3
2014,Cedar Pass,7050,-120.30202,3843,9.8,18.7,1
2014,Independence Camp,6980,-120.29367,2765,2,13.4,1
2014,Css Lab,6894,-120.36807,6170,6,16.3,1
2014,Tahoe City Cross,6797,-120.15362,3418,4.6,15.3,2
2014,Ward Creek No.3,6745,-120.21865,6425,1.3,11.4,2
2014,Little Valley,6510,-119.8771,3256,4,14.4,3
2014,Truckee No.2,6509,-120.18407,2989,6.5,17.6,2
2014,Independence Creek,6436,-120.28226,2375,1.2,14.6,1
2014,Fallen Leaf,6242,-120.0545,3617,3.9,11.9,2
2014,Adin Mtn,6190,-120.79192,3262,6.5,14.3,1
2014,Marble Creek,6183,-118.4209,392,10.4,22.6,4
2014,Spratt Creek,6063,-119.81741,3223,4.4,13.6,3
2014,State Line,5680,-120.71574,279,7.05,18.9,1
2014,Deep Springs,5399,-117.97383,385,14.1,25.8,4
2014,Crowder Flat,5170,-120.75202,1709,7.5,20,1
2014,Eagle Lake,5134,-120.72472,1455,6.5,15.1,1
2014,Ash Valley,5097,-120.6872,96,2.8,3.5,1
2014,French Gulch,3704,-122.55083,205,4.6,5,1
2014,Shadow Mtns,3643,-115.7151,563,18.1,30,4
2014,Cochora Ranch,2697,-119.59608,14,13.1,13.1,3
2014,Essex,2644,-115.16693,107,22.1,33.8,4
2014,Death Valley Jct,2062,-116.35132,230,21,35,4
2014,Monocline Ridge,875,-120.55463,44,12.399999999999999,13.2,1
2014,Desert Center,556,-115.30505,118,26.4,35.9,4
2014,Ford Dry Lake,394,-115.09763,221,26.9,35.8,4
2015,Leavitt Lake,9604,-119.61281,8801,5.300000000000001,13.5,3
2015,Virginia Lakes Ridge,9445,-119.23433,2875,4.75,12.1,4
2015,Summit Meadow,9313,-119.53522,4080,5.45,13.6,4
2015,Lobdell Lake,9249,-119.36572,3263,4.85,11.2,4
2015,Mt Rose Ski Area,8801,-119.89473,7186,4.85,15.3,3
2015,Sonora Pass,8770,-119.6003,4134,5.6,11.9,3
2015,Ebbetts Pass,8661,-119.80468,6963,6.1,14.1,3
2015,Horse Meadow,8557,-119.662,3899,6.1,14.3,3
2015,Heavenly Valley,8534,-119.91641,4233,5.6,12.7,2
2015,Carson Pass,8360,-120.0022,5689,6,12.9,2
2015,Independence Lake,8338,-120.28972,7650,6.5,17.4,1
2015,Monitor Pass,8306,-119.6087,2901,7.4,13.4,3
2015,Big Meadow,8235,-119.9422,4342,5.15,14.8,2
2015,Burnside Lake,8129,-119.8942,5163,2.4,10.1,3
2015,Blue Lakes,8067,-119.91667,5269,5.65,13.3,2
2015,Forestdale Creek,8017,-119.9597,6121,6.65,13.4,2
2015,Squaw Valley G.C.,8013,-120.26576,7982,7,17.7,1
2015,Marlette Lake,7884,-119.89672,4821,6.85,14.3,3
2015,Bodie Hills,7825,-119.12645,683,1.5999999999999999,11.8,4
2015,Hagans Meadow,7742,-119.9374,3714,3.85,11.1,2
2015,Poison Flat,7736,-119.62624,3523,4.85,11.4,3
2015,Echo Peak,7653,-120.0795,7207,7.65,15.8,2
2015,Rubicon No.2,7619,-120.13139,4391,7.85,17.1,2
2015,Dismal Swamp,7360,-120.18033,8231,3.1499999999999995,14.6,2
2015,Doe Ridge,7340,-118.82643,1087,8.5,16.1,4
2015,Leavitt Meadows,7198,-119.55111,3633,6.7,12.9,3
2015,Cedar Pass,7050,-120.30202,4785,8.8,20.1,1
2015,Cedar Pass,7030,-120.3025,495,-3.8,-3.8,1
2015,Independence Camp,6980,-120.29367,3779,5.550000000000001,14.8,1
2015,Css Lab,6894,-120.36807,8347,8,15.2,1
2015,Tahoe City Cross,6797,-120.15362,4331,7.15,15.7,2
2015,Ward Creek No.3,6745,-120.21865,8752,3.95,12,2
2015,Little Valley,6510,-119.8771,3820,6.450000000000001,15.8,3
2015,Truckee No.2,6509,-120.18407,4254,8,17.4,2
2015,Independence Creek,6436,-120.28226,3390,4.1,12.8,1
2015,Fallen Leaf,6242,-120.0545,3405,5.35,13.3,2
2015,Adin Mtn,6190,-120.79192,4358,5.3,15.1,1
2015,Marble Creek,6183,-118.4209,635,14,22.5,4
2015,Spratt Creek,6063,-119.81741,3381,7.9,15.7,3
2015,State Line,5680,-120.71574,3610,9.149999999999999,21.5,1
2015,Deep Springs,5399,-117.97383,780,12.600000000000001,22.7,4
2015,Crowder Flat,5170,-120.75202,2805,8,23.3,1
2015,Eagle Lake,5134,-120.72472,2849,5.9,18.3,1
2015,Ash Valley,5097,-120.6872,2169,7.9,18,1
2015,French Gulch,3704,-122.55083,7642,12.25,27.4,1
2015,Shadow Mtns,3643,-115.7151,868,17.35,28.4,4
2015,Stubblefield,2995,-119.47831,1237,16.25,25.4,4
2015,Cochora Ranch,2697,-119.59608,1108,17,26.2,3
2015,Essex,2644,-115.16693,630,20.3,28.6,4
2015,Death Valley Jct,2062,-116.35132,677,19.799999999999997,35.9,4
2015,Monocline Ridge,875,-120.55463,1043,20,34.8,1
2015,Desert Center,556,-115.30505,371,25.700000000000003,36,4
2015,Ford Dry Lake,394,-115.09763,385,24.05,35.5,4
2016,Leavitt Lake,9604,-119.61281,17713,0.95,14.3,3
2016,Virginia Lakes Ridge,9445,-119.23433,6435,1.15,13.1,4
2016,Summit Meadow,9313,-119.53522,7400,1.5499999999999998,13.1,4
2016,Lobdell Lake,9249,-119.36572,6543,0.19999999999999998,14.2,4
2016,Mt Rose Ski Area,8801,-119.89473,16204,2.45,13.6,3
2016,Sonora Pass,8770,-119.6003,9384,0.55,13.6,3
2016,Ebbetts Pass,8661,-119.80468,14337,2.4,15.9,3
2016,Horse Meadow,8557,-119.662,11374,3.65,12.9,3
2016,Heavenly Valley,8534,-119.91641,11474,2.45,11.2,2
2016,Carson Pass,8360,-120.0022,11340,0.7000000000000001,12.8,2
2016,Independence Lake,8338,-120.28972,16574,3.15,15.6,1
2016,Monitor Pass,8306,-119.6087,6353,2.8499999999999996,13.3,3
2016,Big Meadow,8235,-119.9422,10082,2.7,15.3,2
2016,Burnside Lake,8129,-119.8942,11207,0.7,12.9,3
2016,Blue Lakes,8067,-119.91667,11951,0.44999999999999996,11.6,2
2016,Forestdale Creek,8017,-119.9597,13449,3.5500000000000003,13.3,2
2016,Squaw Valley G.C.,8013,-120.26576,16079,4.55,15.4,1
2016,Marlette Lake,7884,-119.89672,9508,3.75,13.2,3
2016,Bodie Hills,7825,-119.12645,1558,2,17,4
2016,Hagans Meadow,7742,-119.9374,9125,2.9,8.2,2
2016,Poison Flat,7736,-119.62624,7935,1.15,12.8,3
2016,Echo Peak,7653,-120.0795,17226,4.55,16.4,2
2016,Rubicon No.2,7619,-120.13139,10582,4.6,16.9,2
2016,Dismal Swamp,7360,-120.18033,14206,1.2,10.4,2
2016,Doe Ridge,7340,-118.82643,1475,4.1,15.5,4
2016,Fredonyer Peak,7208,-120.60805,38,-5.2,-5.2,1
2016,Leavitt Meadows,7198,-119.55111,6854,3.25,13,3
2016,Cedar Pass,7050,-120.30202,8211,4,17.1,1
2016,Cedar Pass,7030,-120.3025,1079,2.5,2.5,1
2016,Independence Camp,6980,-120.29367,6366,2.45,12.3,1
2016,Css Lab,6894,-120.36807,17418,4.55,11.8,1
2016,Tahoe City Cross,6797,-120.15362,9174,3.25,13.8,2
2016,Ward Creek No.3,6745,-120.21865,18223,1.6,13.2,2
2016,Little Valley,6510,-119.8771,7688,5.800000000000001,19.6,3
2016,Truckee No.2,6509,-120.18407,8942,4.45,15.3,2
2016,Independence Creek,6436,-120.28226,6558,1.25,10.9,1
2016,Fallen Leaf,6242,-120.0545,7396,2.8,13.8,2
2016,Adin Mtn,6190,-120.79192,7866,3.1999999999999997,16.4,1
2016,Marble Creek,6183,-118.4209,813,11.7,25.7,4
2016,Spratt Creek,6063,-119.81741,6737,4.449999999999999,15.2,3
2016,State Line,5680,-120.71574,4953,5,17.8,1
2016,Deep Springs,5399,-117.97383,711,9,22.4,4
2016,Crowder Flat,5170,-120.75202,3806,4.45,17.7,1
2016,Eagle Lake,5134,-120.72472,3081,4.8,17.2,1
2016,Ash Valley,5097,-120.6872,2886,6.4,21.2,1
2016,French Gulch,3704,-122.55083,2646,4.1,11.1,1
2016,Shadow Mtns,3643,-115.7151,1117,11.100000000000001,27.8,4
2016,Stubblefield,2995,-119.47831,1479,13.25,24.5,4
2016,Cochora Ranch,2697,-119.59608,1500,17.15,25.4,3
2016,Essex,2644,-115.16693,881,14.45,29.7,4
2016,Death Valley Jct,2062,-116.35132,1221,16.2,34.5,4
2016,Monocline Ridge,875,-120.55463,1302,16.3,31.7,1
2016,Desert Center,556,-115.30505,296,18.049999999999997,34.5,4
2016,Ford Dry Lake,394,-115.09763,244,16.55,33.8,4
2017,Leavitt Lake,9604,-119.61281,35427,3.0999999999999996,14.8,3
2017,Virginia Lakes Ridge,9445,-119.23433,13066,2.8499999999999996,13.8,4
2017,Summit Meadow,9313,-119.53522,13105,2.35,15.2,4
2017,Lobdell Lake,9249,-119.36572,11294,0.75,11.5,4
2017,Mt Rose Ski Area,8801,-119.89473,32753,3.75,16.4,3
2017,Sonora Pass,8770,-119.6003,19382,1.85,11.7,3
2017,Ebbetts Pass,8661,-119.80468,27746,3.6,15.6,3
2017,Horse Meadow,8557,-119.662,19992,3.1,16,3
2017,Heavenly Valley,8534,-119.91641,18314,1.7,12.5,2
2017,Carson Pass,8360,-120.0022,20349,2.2,11.9,2
2017,Independence Lake,8338,-120.28972,27521,4,18.5,1
2017,Monitor Pass,8306,-119.6087,11133,3.55,14.9,3
2017,Big Meadow,8235,-119.9422,17824,2.65,14.8,2
2017,Burnside Lake,8129,-119.8942,20576,-1.3,8.1,3
2017,Blue Lakes,8067,-119.91667,20379,0.9,12.8,2
2017,Forestdale Creek,8017,-119.9597,24972,3.55,13.7,2
2017,Squaw Valley G.C.,8013,-120.26576,31619,6.15,19.8,1
2017,Marlette Lake,7884,-119.89672,16645,1.75,14.1,3
2017,Bodie Hills,7825,-119.12645,2567,0.8,14.2,4
2017,Hagans Meadow,7742,-119.9374,15660,-0.75,10,2
2017,Poison Flat,7736,-119.62624,16224,0.8500000000000001,10.4,3
2017,Echo Peak,7653,-120.0795,30934,5.1,17.3,2
2017,Rubicon No.2,7619,-120.13139,21361,5.25,18.3,2
2017,Dismal Swamp,7360,-120.18033,17306,0.1,16.4,2
2017,Doe Ridge,7340,-118.82643,3619,2.55,16.3,4
2017,Fredonyer Peak,7208,-120.60805,6223,5,21.8,1
2017,Leavitt Meadows,7198,-119.55111,16044,0.8000000000000002,13.3,3
2017,Cedar Pass,7050,-120.30202,8271,2.5,20.4,1
2017,Cedar Pass,7030,-120.3025,1196,-7.5,-7.5,1
2017,Independence Camp,6980,-120.29367,14256,0.75,13.2,1
2017,Css Lab,6894,-120.36807,31419,3.1500000000000004,14.9,1
2017,Tahoe City Cross,6797,-120.15362,16573,3.85,16.3,2
2017,Ward Creek No.3,6745,-120.21865,33204,0.29999999999999993,12.3,2
2017,Little Valley,6510,-119.8771,16064,3.55,11.5,3
2017,Truckee No.2,6509,-120.18407,16982,4.75,17.5,2
2017,Independence Creek,6436,-120.28226,12187,0.14999999999999997,12.1,1
2017,Fallen Leaf,6242,-120.0545,15659,2.7,12.4,2
2017,Adin Mtn,6190,-120.79192,9152,0.6,22,1
2017,Marble Creek,6183,-118.4209,1666,11.5,25.7,4
2017,Spratt Creek,6063,-119.81741,13266,2.1,14.6,3
